neighbourhood,property_type,room_type,beds,price,review_scores_rating,date_difference
4,10,1,2.0,69,97.0,2313
2,0,0,1.0,110,83.0,2310
1,0,0,3.0,175,92.05056465561094,2308
1,0,0,1.0,125,93.0,2302
2,0,1,2.0,95,96.0,2302
2,0,1,2.0,95,95.0,2302
2,13,0,2.0,135,91.0,2301
2,0,0,1.0,100,96.0,2299
1,10,0,2.0,200,95.0,2297
1,10,1,1.0,239,97.0,2297
2,0,0,1.0,220,97.0,2296
1,0,0,3.0,199,100.0,2295
2,0,0,3.0,399,100.0,2295
2,0,0,2.0,130,86.0,2294
2,0,1,1.0,70,92.05056465561094,2294
1,13,0,2.0,110,93.50761421319795,2293
2,0,0,3.0,160,92.0,2293
2,0,0,1.0,135,96.0,2292
2,0,0,2.0,350,96.0,2290
2,0,1,1.0,60,92.05056465561094,2290
1,8,0,2.0,375,98.0,2289
2,0,0,1.0,225,81.0,2287
2,0,0,1.0,165,97.0,2281
2,0,0,1.0,585,96.0,2280
1,0,1,1.0,40,96.0,2279
1,0,1,1.0,85,100.0,2274
2,0,0,2.0,225,97.0,2271
1,0,1,1.0,110,96.0,2271
2,0,1,1.0,125,96.0,2269
1,0,0,5.0,275,98.0,2267
2,0,0,1.0,240,93.0,2267
2,0,0,1.0,175,91.0,2265
1,13,0,4.0,130,76.0,2263
1,0,1,1.0,90,92.05056465561094,2263
1,10,1,10.0,130,91.0,2263
1,10,1,1.0,130,89.0,2263
1,10,1,2.0,130,86.0,2263
1,10,1,2.0,130,100.0,2263
1,10,1,2.0,120,93.0,2263
1,0,0,1.0,139,94.0,2259
1,0,0,2.0,260,100.0,2258
1,10,1,1.0,35,100.0,2258
2,0,0,1.0,185,96.0,2257
1,13,0,1.0,175,99.0,2255
1,0,0,2.0,150,97.0,2254
1,13,1,1.0,120,93.50761421319795,2254
1,0,0,1.0,150,100.0,2253
2,0,0,1.0,175,96.0,2253
2,0,1,1.0,133,91.0,2252
2,0,0,4.0,375,96.0,2251
1,0,0,2.0,150,92.05056465561094,2245
1,0,0,4.0,150,91.0,2243
1,0,0,4.0,150,92.0,2243
2,0,1,1.0,180,90.0,2243
2,0,1,1.0,59,81.0,2240
2,0,1,1.0,99,72.0,2240
2,0,1,1.0,99,90.0,2240
1,0,0,1.0,199,97.0,2239
1,0,0,2.0,300,100.0,2239
2,0,1,1.0,85,94.0,2234
2,0,0,2.0,375,96.0,2233
2,0,0,2.0,135,79.0,2232
2,0,0,2.0,289,91.0,2232
2,0,0,1.0,179,80.0,2232
2,0,1,1.0,60,93.0,2230
1,0,0,1.0,125,92.05056465561094,2227
2,0,1,1.0,98,92.05056465561094,2226
3,10,1,2.0,55,88.0,2226
3,10,1,2.0,68,86.0,2226
3,10,1,1.0,45,78.0,2226
3,10,1,2.0,55,88.0,2226
